iter	RMSE
210	7.880373211
211	7.873467631
212	7.869728391
213	7.865022762
214	7.861212205
215	7.858474145
216	7.856063096
217	7.851603167
218	7.84865593
219	7.844177055
220	7.84259514
221	7.841278266
222	7.839692881
223	7.83617903
224	7.830062736
225	7.827528355
226	7.82473585
227	7.820168742
228	7.815138189
229	7.809598126
230	7.808119279
231	7.80497933
232	7.803147133
233	7.797252571
234	7.795921224
235	7.791775611
236	7.787799044
237	7.784381117
238	7.782477786
239	7.781489187
240	7.774661181
241	7.773276929
242	7.769801256
243	7.768264973
244	7.767107978
245	7.765686183
246	7.761396468
247	7.756729795
248	7.752413009
249	7.750741649
250	7.74652933
251	7.74379433
252	7.740374521
253	7.738352359
254	7.731779316
255	7.729228194
256	7.727902752
257	7.726832537
258	7.724563079
259	7.723399891
260	7.717412273
261	7.712280645
262	7.709638876
263	7.707114661
264	7.705797689
265	7.701407135
266	7.69993076
267	7.694405373
268	7.688992396
269	7.68756381
270	7.686478274
271	7.681496932
272	7.680526516
273	7.679438323
274	7.675222895
275	7.673943642
276	7.669297788
277	7.664057904
278	7.659799165
279	7.651777791
280	7.64779573
281	7.644027207
282	7.642980156
283	7.641959852
284	7.640666572
285	7.637067498
286	7.635978404
287	7.632768345
288	7.626765365
289	7.621209752
290	7.618404809
291	7.61504302
292	7.614071202
293	7.612963075
294	7.608302208
295	7.604276839
296	7.600226876
297	7.595566135
298	7.59238017
299	7.588400988
300	7.587428364
301	7.582651504
302	7.578917546
303	7.574551701
304	7.570865961
305	7.564071826
306	7.557940289
307	7.554135011
308	7.550321932
309	7.549440996
310	7.545048594
311	7.54196185
312	7.538729514
313	7.534597378
314	7.530851735
315	7.529797249
316	7.526240555
317	7.525450858
318	7.522001351
319	7.5141209
320	7.511748655
321	7.510963119
322	7.507843691
323	7.503120244
324	7.499297632
325	7.49618639
326	7.49208737
327	7.485049999
328	7.482077555
329	7.478240553
330	7.477579917
331	7.47451067
332	7.468203123
333	7.460072682
334	7.459265368
335	7.453286517
336	7.448894178
337	7.444965236
338	7.443992706
339	7.440622753
340	7.437444825
341	7.43037953
342	7.426152296
343	7.425390491
344	7.422240694
345	7.418347087
346	7.413894801
347	7.410462654
348	7.408096616
349	7.4071495
350	7.405111954
351	7.40087513
352	7.39645628
353	7.395572721
354	7.390873021
355	7.385357556
356	7.382119528
357	7.377521088
358	7.373921758
359	7.368667312
360	7.363304265
361	7.358661685
362	7.354612115
363	7.353848729
364	7.353010769
365	7.346703011
366	7.344909697
367	7.344319961
368	7.341051113
369	7.336940898
370	7.334175498
371	7.330208168
372	7.327293591
373	7.323538264
374	7.322356243
375	7.319250215
376	7.316321304
377	7.313737142
378	7.312108501
379	7.308647326
380	7.303751532
381	7.301273589
382	7.300509723
383	7.294062212
384	7.292326919
385	7.289010676
386	7.285579596
387	7.284593878
388	7.280056222
389	7.277584088
390	7.273526005
391	7.27197423
392	7.269193998
393	7.265517623
394	7.264868954
395	7.262115641
396	7.259394086
397	7.25614728
398	7.252733804
399	7.250453485
400	7.246395742
401	7.24205082
402	7.238100595
403	7.234446524
404	7.230966358
405	7.228707973
406	7.225956055
407	7.222410493
408	7.219827052
409	7.216598115
410	7.213203179
411	7.211097263
412	7.210412716
413	7.209867181
414	7.205656587
415	7.202249884
416	7.199098016
417	7.195961509
418	7.195293136
419	7.191258047
420	7.187901365
421	7.184029033
422	7.183214473
423	7.178744859
424	7.175662392
425	7.173841896
426	7.170327116
427	7.169635367
428	7.167970579
429	7.166218521
430	7.162962818
431	7.159843917
432	7.159039292
433	7.15832374
434	7.155983328
435	7.152269199
436	7.146619421
437	7.143770624
438	7.140775701
439	7.134571824
440	7.13391751
441	7.133338934
442	7.129704809
443	7.125947699
444	7.121755699
445	7.118122595
446	7.11560589
447	7.110720333
448	7.107264914
449	7.105205836
450	7.102172265
451	7.101553337
452	7.099016491
453	7.098278009
454	7.09455512
455	7.094007447
456	7.091280878
457	7.08760154
458	7.084970006
459	7.082283227
460	7.080064006
461	7.079242953
462	7.074894487
463	7.071934288
464	7.069125578
465	7.06690381
466	7.064321731
467	7.061135535
468	7.058492942
469	7.055514983
470	7.051350833
471	7.049644961
472	7.047458772
473	7.044974006
474	7.044372539
475	7.042059811
476	7.038006282
477	7.032682406
478	7.031975562
479	7.031222558
480	7.027493395
481	7.026717779
482	7.024403608
483	7.022265249
484	7.020055581
485	7.017822099
486	7.015987273
487	7.012451206
488	7.009639084
489	7.007117907
490	7.006523991
491	7.00621705
492	7.002518871
493	6.998345587
494	6.995046282
495	6.990748956
496	6.988107038
497	6.984230605
498	6.982130471
499	6.977287362
500	6.974906736
501	6.971879884
502	6.96866266
503	6.965394731
504	6.962604006
505	6.962164537
506	6.959397144
507	6.957146709
508	6.955661873
509	6.95429973
510	6.953655738
511	6.949381401
512	6.947644834
513	6.947233912
514	6.94452117
515	6.941807987
516	6.939589283
517	6.939109802
518	6.937067104
519	6.935377348
520	6.932816496
521	6.930315064
522	6.929555139
523	6.927775999
524	6.925355885
525	6.922497175
526	6.919166024
527	6.91695986
528	6.915500057
529	6.912904373
530	6.912369418
531	6.907911775
532	6.906851464
533	6.903564812
534	6.900905996
535	6.897307315
536	6.892082937
537	6.890703839
538	6.888251372
539	6.887862946
540	6.887315983
541	6.884937005
542	6.883848104
543	6.883405403
544	6.882689961
545	6.880653324
546	6.880240452
547	6.879574305
548	6.877771921
549	6.875492588
550	6.874733079
551	6.872122847
552	6.86915496
553	6.864698457
554	6.860565639
555	6.858117961
556	6.855919019
557	6.853597209
558	6.852495536
559	6.849078905
560	6.848598398
561	6.848012969
562	6.844310595
563	6.842559567
564	6.841797068
565	6.83635676
566	6.835969186
567	6.832953024
568	6.832626232
569	6.83080749
570	6.827807038
571	6.825568116
572	6.82292156
573	6.821266223
574	6.817819029
575	6.815595507
576	6.813101335
577	6.810665887
578	6.810336809
579	6.808585335
580	6.805961013
581	6.803741299
582	6.799809259
583	6.794472664
584	6.792890582
585	6.789983618
586	6.787885036
587	6.785398766
588	6.783487445
589	6.782093027
590	6.779140976
591	6.777691305
592	6.77304485
593	6.771784739
594	6.770171777
595	6.76726623
596	6.762776383
597	6.761420532
598	6.760064764
599	6.757820966
600	6.753666587
601	6.749378136
602	6.747956903
603	6.74406939
604	6.742902003
605	6.740167895
606	6.737554073
607	6.736073698
608	6.734185487
609	6.732768094
610	6.730889708
611	6.729061549
612	6.726424425
613	6.722640269
614	6.721005584
615	6.717902156
616	6.716187932
617	6.712183268
618	6.710621546
619	6.709220142
620	6.704858585
621	6.703051109
622	6.699933788
623	6.69923404
624	6.697832807
625	6.696687335
626	6.694075744
627	6.693094985
628	6.692711412
629	6.689967214
630	6.686416119
631	6.683899193
632	6.682323041
633	6.680291196
634	6.678631321
635	6.676272713
636	6.672473933
637	6.670347554
638	6.669566578
639	6.667958568
640	6.665963753
641	6.662522625
642	6.661312441
643	6.65757936
644	6.655768577
645	6.654816973
646	6.652470053
647	6.650418936
648	6.645988634
649	6.644088337
650	6.643408683
651	6.641357208
652	6.637089754
653	6.634679833
654	6.63329578
655	6.632810275
656	6.63112008
657	6.628683391
658	6.627103519
659	6.6243581
660	6.622136988
661	6.620329439
662	6.619153535
663	6.616634342
664	6.616131819
665	6.613775147
666	6.611981588
667	6.609955457
668	6.606841359
669	6.604076893
670	6.602047331
671	6.601130082
672	6.59900039
673	6.596667239
674	6.595183519
675	6.593597521
676	6.588449608
677	6.586668425
678	6.584058316
679	6.582645267
680	6.579203443
681	6.577752376
682	6.575269906
683	6.573626335
684	6.569425329
685	6.56899481
686	6.566945467
687	6.564402533
688	6.563248882
689	6.560220581
690	6.55874089
691	6.556514316
692	6.552964972
693	6.550817268
694	6.548375063
695	6.547057795
696	6.544669606
697	6.543759766
698	6.541426437
699	6.539406103
700	6.537269879
701	6.534998177
702	6.533692875
703	6.531155174
704	6.529233821
705	6.527619081
706	6.523350784
707	6.520874
708	6.517294243
709	6.515138222
710	6.513953038
711	6.512209694
712	6.510840562
713	6.510507844
714	6.509031966
715	6.505692249
716	6.503382343
717	6.499394602
718	6.497728132
719	6.494327239
720	6.493860582
721	6.493058138
722	6.492553805
723	6.491285695
724	6.488546286
725	6.487346999
726	6.485711936
727	6.483856919
728	6.482933357
729	6.481279748
730	6.479014222
731	6.476882865
732	6.47440189
733	6.473187331
734	6.471225554
735	6.469561913
736	6.46912194
737	6.467716945
738	6.467228424
739	6.466259782
740	6.465130952
741	6.46469257
742	6.461466638
743	6.459485397
744	6.457945764
745	6.45648334
746	6.455511906
747	6.454574765
748	6.452192353
749	6.451034401
750	6.449875881
751	6.448385845
752	6.447606458
753	6.447308036
754	6.445274472
755	6.443625139
756	6.442660765
757	6.441571921
758	6.439120718
759	6.437144383
760	6.43685367
761	6.436186672
762	6.434297707
763	6.433215125
764	6.431964747
765	6.428277883
766	6.426929781
767	6.426065812
768	6.425570175
769	6.423382368
770	6.423105055
771	6.422749521
772	6.421318554
773	6.418416638
774	6.415127837
775	6.412681936
776	6.411329985
777	6.409810801
778	6.408938372
779	6.407470337
780	6.406672473
781	6.405150395
782	6.403656138
783	6.402582774
784	6.400782121
785	6.398775282
786	6.397419674
787	6.395243106
788	6.393822896
789	6.392108584
790	6.390826584
791	6.390504258
792	6.38847954
793	6.387278205
794	6.385945311
795	6.384238616
796	6.382473527
797	6.381246232
798	6.380223482
799	6.37990772
800	6.378561335
801	6.376402737
802	6.37549776
803	6.372721604
804	6.371023883
805	6.368501778
806	6.36564087
807	6.363951945
808	6.362265323
809	6.361322693
810	6.359622894
811	6.358704396
812	6.358241813
813	6.356181843
814	6.354700367
815	6.352801796
816	6.35021584
817	6.348924857
818	6.347007998
819	6.346025758
820	6.344208705
821	6.343318149
822	6.342001569
823	6.339843011
824	6.338874088
825	6.338515021
826	6.336915114
827	6.335050023
828	6.331536872
829	6.330185765
830	6.328733987
831	6.32597843
832	6.324940115
833	6.322942642
834	6.319776437
835	6.319401541
836	6.317757515
837	6.315964987
838	6.313218601
839	6.311912454
840	6.31072668
841	6.309016828
842	6.308658999
843	6.305887201
844	6.303925091
845	6.303592924
846	6.301811738
847	6.300648834
848	6.298056182
849	6.296389484
850	6.293189566
851	6.291728335
852	6.287926853
853	6.286536734
854	6.285726266
855	6.284072706
856	6.28232434
857	6.281563944
858	6.28007519
859	6.279786216
860	6.279464324
861	6.277664748
862	6.276829083
863	6.274313998
864	6.273360754
865	6.27246884
866	6.270098331
867	6.268605091
868	6.26559256
869	6.265291839
870	6.261714845
871	6.260136514
872	6.259110526
873	6.258049656
874	6.257180271
875	6.256270369
876	6.255265427
877	6.254767753
878	6.253612038
879	6.252006604
880	6.250040426
881	6.248333636
882	6.248023554
883	6.246704202
884	6.245275893
885	6.243960919
886	6.241360936
887	6.240190278
888	6.239195891
889	6.23796127
890	6.236839991
891	6.236027086
892	6.235752366
893	6.233575087
894	6.23210576
895	6.230893953
896	6.23061017
897	6.228746507
898	6.226739371
899	6.226016727
900	6.225175239
901	6.224477974
902	6.223320969
903	6.223008366
904	6.220888836
905	6.219641182
906	6.217869427
907	6.217594321
908	6.215989029
909	6.215733975
910	6.215249583
911	6.2137822
912	6.212429855
913	6.211194971
914	6.210120781
915	6.209234224
916	6.208237459
917	6.206272853
918	6.203520367
919	6.201412086
920	6.200322343
921	6.197844173
922	6.196726976
923	6.194229117
924	6.191071984
925	6.188098676
926	6.187151198
927	6.185690418
928	6.184464866
929	6.181462122
930	6.179652474
931	6.178777689
932	6.17800668
933	6.177707117
934	6.176396445
935	6.173767135
936	6.17241496
937	6.171226743
938	6.170085778
939	6.168989376
940	6.168678871
941	6.167464497
942	6.16570659
943	6.164662637
944	6.162682007
945	6.162379905
946	6.161392625
947	6.159302904
948	6.157166349
949	6.155959139
950	6.155650108
951	6.154755295
952	6.153093727
953	6.152013206
954	6.15174755
955	6.151044635
956	6.148388504
957	6.1474879
958	6.146486166
959	6.145738515
960	6.144522739
961	6.142852647
962	6.141702966
963	6.140787862
964	6.140068199
965	6.138805426
966	6.13726683
967	6.137034604
968	6.135774349
969	6.13459818
970	6.133209042
971	6.13097336
972	6.13053287
973	6.129540986
974	6.128614936
975	6.126573495
976	6.124316505
977	6.123365322
978	6.121459179
979	6.119229977
980	6.118208081
981	6.11681037
982	6.115026475
983	6.11420314
984	6.113638016
985	6.112205775
986	6.109667701
987	6.107421031
988	6.106405385
989	6.104567247
990	6.102455886
991	6.102174806
992	6.101661497
993	6.100147594
994	6.097979616
995	6.097743692
996	6.096843281
997	6.094685372
998	6.091876535
999	6.091041402
